Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-05-03,17.5,30.0,16.5,30.0,44476.0,0,0.0
2010-05-10,32.5,33.0,25.0,29.0,16498.0,0,0.0
2010-05-17,29.0,30.0,25.0,26.5,2772.0,0,0.0
2010-05-24,26.5,26.5,22.5,25.0,3970.0,0,0.0
2010-05-31,23.0,25.0,23.0,25.0,1760.0,0,0.0
2010-06-07,24.5,26.5,22.5,25.5,2932.0,0,0.0
2010-06-14,23.5,27.0,23.5,25.25,544.0,0,0.0
2010-06-21,25.0,25.5,23.5,25.0,674.0,0,0.0
2010-06-28,25.5,25.5,23.0,23.5,1672.0,0,0.0
2010-07-05,24.0,25.0,21.75,24.5,2380.0,0,0.0
2010-07-12,28.0,32.0,22.0,23.5,60224.0,0,0.0
2010-07-19,22.5,25.0,20.5,20.5,4764.0,0,0.0
2010-07-26,22.5,22.5,16.5,19.0,5396.0,0,0.0
2010-08-02,17.5,19.0,15.5,15.5,4002.0,0,0.0
2010-08-09,16.75,16.75,13.0,14.050000190734863,2684.0,0,0.0
2010-08-16,14.050000190734863,14.5,12.5,14.5,3026.0,0,0.0
2010-08-23,14.5,17.25,12.5,17.25,2174.0,0,0.0
2010-08-30,16.5,17.25,12.5,15.0,1266.0,0,0.0
2010-09-06,15.0,16.0,13.75,16.0,1902.0,0,0.0
2010-09-13,15.399999618530273,22.5,15.0,21.5,7288.0,0,0.0
2010-09-20,22.25,22.25,20.5,21.0,2930.0,0,0.0
2010-09-27,21.5,22.0,20.0,22.0,1670.0,0,0.0
2010-10-04,22.0,22.5,19.5,22.0,2628.0,0,0.0
2010-10-11,23.0,31.5,20.0,25.5,11026.0,0,0.0
2010-10-18,26.0,26.0,22.5,22.5,2658.0,0,0.0
2010-10-25,22.5,22.75,20.0,21.5,2366.0,0,0.0
2010-11-01,21.5,21.950000762939453,18.5,18.5,2102.0,0,0.0
2010-11-08,20.5,22.950000762939453,19.5,20.0,2110.0,0,0.0
2010-11-15,19.5,22.0,19.5,20.0,1448.0,0,0.0
2010-11-22,20.0,22.0,19.5,20.0,610.0,0,0.0
2010-11-29,19.5,22.0,18.0,19.5,1260.0,0,0.0
2010-12-06,19.25,21.0,17.5,20.0,2546.0,0,0.0
2010-12-13,17.5,21.0,17.5,19.5,1344.0,0,0.0
2010-12-20,19.0,21.0,19.0,21.0,812.0,0,0.0
2010-12-27,20.5,21.0,20.0,21.0,1438.0,0,0.0
2011-01-03,19.0,22.5,18.5,20.049999237060547,922.0,0,0.0
2011-01-10,19.75,24.0,19.5,24.0,5732.0,0,0.0
2011-01-17,24.0,24.0,22.0,22.100000381469727,778.0,0,0.0
2011-01-24,22.5,29.5,22.5,27.450000762939453,9982.0,0,0.0
2011-01-31,27.399999618530273,29.0,26.5,29.0,3622.0,0,0.0
2011-02-07,28.399999618530273,29.700000762939453,25.5,29.700000762939453,23022.0,0,0.0
2011-02-14,29.700000762939453,36.0,28.25,36.0,19642.0,0,0.0
2011-02-21,37.0,39.0,31.5,38.5,52654.0,0,0.0
2011-02-28,39.25,41.5,33.0,37.5,48452.0,0,0.0
2011-03-07,36.0,37.45000076293945,27.5,37.0,27598.0,0,0.0
2011-03-14,36.95000076293945,37.95000076293945,33.0,35.5,19010.0,0,0.0
2011-03-21,37.400001525878906,37.5,30.5,32.0,39106.0,0,0.0
2011-03-28,32.0,34.0,22.25,30.5,26450.0,0,0.0
2011-04-04,30.5,36.0,28.0,35.0,19304.0,0,0.0
2011-04-11,34.5,35.0,28.0,31.0,7742.0,0,0.0
2011-04-18,29.5,32.5,27.5,29.0,6868.0,0,0.0
2011-04-25,29.0,29.0,19.0,24.5,14934.0,0,0.0
2011-05-02,23.5,26.5,22.5,23.5,8440.0,0,0.0
