Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-11,301.58215445695424,305.21903089127585,295.08138790668437,298.6984558105469,164340,0.0,0
2018-12-12,301.2551271212141,308.1820034259269,298.61914112986,303.6532897949219,77388,0.0,0
2018-12-13,303.187500786512,303.3361403445897,291.70212364594727,295.2597351074219,121570,0.0,0
2018-12-14,292.6336563454185,295.2993701366385,284.64643435690954,285.2806701660156,167145,0.0,0
2018-12-17,282.62490547881544,282.62490547881544,274.9993773421357,277.37274169921875,201668,0.0,0
2018-12-18,280.31587258010154,280.31587258010154,271.2584162530397,275.3907470703125,141878,0.0,0
2018-12-19,275.39075567187416,277.0654985997187,265.62968807994696,267.641357421875,140740,0.0,0
2018-12-20,267.48285390822286,271.2126638368379,260.803690095067,265.0450439453125,131875,0.0,0
2018-12-21,265.1144149894616,270.56475434988954,257.6821340434235,265.7981872558594,222783,0.0,0
2018-12-24,264.093772918809,266.20454599887444,260.2190726589485,264.1532287597656,79368,0.0,0
2018-12-26,264.58916801416655,276.88711761720134,264.58916801416655,276.62945556640625,127556,0.0,0
2018-12-27,272.40796724603024,278.93846093769616,264.628840716962,278.81951904296875,81113,0.0,0
2018-12-28,279.8997104414954,286.5613942074781,274.9745844282275,276.60968017578125,55740,0.0,0
2018-12-31,278.1357188202621,280.7221374511719,275.48981413342653,280.7221374511719,99259,0.0,0
2019-01-02,277.11508736504794,277.27361607911115,269.1476737130969,274.19171142578125,139735,0.0,0
2019-01-03,271.9025407358293,272.6408090556567,262.68649524225395,263.3901062011719,127109,0.0,0
2019-01-04,265.5901139593416,273.9439911798047,262.74603238603333,272.5764465332031,91875,0.0,0
2019-01-07,271.2485207981295,274.00341833335517,270.208013584814,272.0809326171875,88177,0.0,0
2019-01-08,275.61873515248584,279.9096257479753,270.88189556505864,277.125,81367,0.0,0
2019-01-09,278.27448170107135,280.15731999520676,275.043907520106,278.4627685546875,173915,0.0,0
2019-01-10,278.10605174669786,279.1564783448112,274.4394477964341,276.4015808105469,122208,0.0,0
2019-01-11,274.12235289081394,276.6790746305669,273.74577912743706,275.49981689453125,95417,0.0,0
2019-01-14,273.50800016133223,276.4214573650223,271.8927125680306,274.4295959472656,128916,0.0,0
2019-01-15,273.5574910240721,284.1311632992299,272.5913186390227,281.742919921875,177398,0.0,0
2019-01-16,282.54562704258944,285.9942167700235,280.5934130985991,284.67620849609375,78708,0.0,0
2019-01-17,283.42754860552105,287.19322528856657,282.0897320695352,282.248291015625,159529,0.0,0
2019-01-18,282.9221544435896,283.97258103897417,281.2771393386221,281.44561767578125,150376,0.0,0
2019-01-22,280.7222060386167,283.83386885597537,279.5627569001539,281.86181640625,200781,0.0,0
2019-01-23,282.297840863799,288.3522949005924,282.297840863799,287.4211730957031,99017,0.0,0
2019-01-24,287.0049182145423,288.5904773217319,284.25002098458486,287.926513671875,85407,0.0,0
2019-01-25,290.18598546919935,291.6229053221321,288.659912109375,288.659912109375,62007,0.0,0
2019-01-28,285.4392080955265,287.84725963168927,283.9131047540378,286.8860168457031,113939,0.0,0
2019-01-29,286.88605916386575,290.0472585736694,285.5085951753674,289.6706848144531,113779,0.0,0
2019-01-30,292.6237869653629,295.8246034144098,289.47247671933087,294.001220703125,165153,0.0,0
2019-01-31,293.13907473477775,296.4786415468068,290.750831438578,295.2498474121094,89864,0.0,0
2019-02-01,294.9822903569841,297.75699649090257,292.58412772250347,296.97412109375,145749,0.0,0
2019-02-04,296.71648688662754,302.7514953613281,296.71648688662754,302.7514953613281,90405,0.0,0
2019-02-05,302.75149218623756,305.70456575096966,301.0767491513804,304.4559631347656,102744,0.0,0
2019-02-06,304.28744672173343,305.98199807299636,301.73075573986347,304.515380859375,80759,0.0,0
2019-02-07,303.09836767244985,303.6285407727256,298.8768518866651,299.4317932128906,92635,0.0,0
2019-02-08,298.39118995644196,300.036205041181,294.39757901765694,299.7091979980469,142342,0.0,0
2019-02-11,299.3921292220548,302.56324825980016,298.63009048859516,300.5218505859375,217019,0.0,0
2019-02-12,301.8496636807329,304.2477956994681,299.55060453260444,303.5838623046875,113911,0.0,0
2019-02-13,304.25774388222993,306.3883249163494,301.433471236059,304.31719970703125,129294,0.0,0
2019-02-14,302.8505910394613,309.50991645101374,302.4938560448215,309.0441589355469,184442,0.0,0
2019-02-15,310.21356343963316,311.94776265123795,307.90458412521446,309.00457763671875,208218,0.0,0
2019-02-19,309.26212415459,312.7800883007888,307.4783889832962,312.0765075683594,165888,0.0,0
2019-02-20,311.0855220954456,315.11874968735765,308.71212801594,313.6322937011719,133094,0.0,0
2019-02-21,315.11877048806724,322.2042353502108,308.1819754279754,316.1097412109375,250574,0.0,0
2019-02-22,316.83316365973576,322.51143684149446,316.46154963521815,321.84747314453125,174310,0.0,0
2019-02-25,325.1078268037269,328.71990480690505,320.2124281928337,320.72772216796875,191797,0.0,0
2019-02-26,320.935800328839,325.4348163906182,318.87380800432953,323.50244140625,216504,0.0,0
2019-02-27,323.10605411910825,325.6033201750183,322.5808407448471,323.5420837402344,206124,0.0,0
2019-02-28,323.6014959300064,327.81312174263536,323.5717680163043,326.5248718261719,157587,0.0,0
2019-03-01,329.82781363974027,332.24798828106276,326.7827536231337,326.9513854980469,121304,0.3,0
2019-03-04,328.34003853767996,330.065889556369,325.07676470626757,329.0641174316406,210571,0.0,0
2019-03-05,329.64928471799715,329.64928471799715,326.02895116871366,326.86212158203125,173594,0.0,0
2019-03-06,327.31842561412947,329.3815102508946,322.5078305777002,322.6962890625,123638,0.0,0
2019-03-07,322.8251753936527,322.8251753936527,318.6097116327003,321.0794677734375,135305,0.0,0
2019-03-08,319.41310544019865,322.80532701502307,318.80807697653324,320.3355407714844,91034,0.0,0
2019-03-11,320.53398158114624,322.15074092377483,319.03624226651164,320.93072509765625,179338,0.0,0
2019-03-12,321.79357470816774,325.9644205349962,321.0000878622103,325.6222229003906,132733,0.0,0
2019-03-13,327.06045636144074,330.4626064923759,323.55914306640625,323.55914306640625,126790,0.0,0
2019-03-14,323.4997080152429,327.2192356183683,322.6764658910388,326.6042785644531,118298,0.0,0
2019-03-15,327.6258091778805,330.4129719362794,323.6483858362178,323.7277526855469,332652,0.0,0
2019-03-18,324.09478385353935,326.9613138392132,323.931116191105,326.0983581542969,98748,0.0,0
2019-03-19,326.60424366318415,326.60424366318415,322.5772379634311,324.4320373535156,121365,0.0,0
2019-03-20,324.1046837046791,325.2056490631482,320.80172709010094,321.68450927734375,83216,0.0,0
2019-03-21,320.3057513888944,327.8043137814399,320.3057513888944,324.9873962402344,90297,0.0,0
2019-03-22,322.99380890399925,325.899991964558,318.3121632102035,318.40142822265625,87291,0.0,0
2019-03-25,318.11379423515837,320.64306053905943,315.91183299533355,319.4429016113281,109594,0.0,0
2019-03-26,318.5204321983883,321.8729704219622,315.9812377400951,318.8874206542969,172290,0.0,0
2019-03-27,318.65932335033403,320.7621214869848,313.51149528446786,316.87396240234375,101277,0.0,0
2019-03-28,318.0641883092826,318.57002336960124,314.71164998478645,316.37799072265625,123493,0.0,0
2019-03-29,317.3797901659221,321.3274285266518,316.97808248676273,317.46905517578125,139859,0.0,0
2019-04-01,320.32565976361667,322.4085705536051,316.9631930107963,321.46630859375,118383,0.0,0
2019-04-02,321.4266316362759,321.4266316362759,317.3996262991721,320.07769775390625,103056,0.0,0
2019-04-03,321.8531536238619,323.86665643945685,321.0100850206064,322.3490905761719,101541,0.0,0
2019-04-04,322.99378635338974,323.2913363741247,319.42303475664517,321.1290588378906,100003,0.0,0
2019-04-05,322.2598188327755,325.81062320983585,319.7305525366065,322.9144592285156,74251,0.0,0
2019-04-08,322.3590358602778,322.6823756308851,318.7882835629842,320.9505615234375,106888,0.0,0
2019-04-09,318.9965063951668,321.64482266104517,318.9965063951668,321.09930419921875,69642,0.0,0
2019-04-10,321.5853388236778,322.2895607772389,319.8198045926287,321.4563903808594,87346,0.0,0
2019-04-11,321.65482171531517,322.6268388439792,318.47663566520276,321.1489562988281,88096,0.0,0
2019-04-12,323.0037069978986,324.51137459349206,320.9455869604108,321.8134765625,93658,0.0,0
2019-04-15,321.70435982581375,326.2322663578405,321.43656478424003,324.7791748046875,63246,0.0,0
2019-04-16,327.3183595186855,327.3183595186855,319.16515553443656,321.3472900390625,139743,0.0,0
2019-04-17,322.16058613763164,322.1903411397404,310.9424962988653,314.2454528808594,94218,0.0,0
2019-04-18,314.8207468055162,318.5502020833136,312.8617899422183,314.2256164550781,100161,0.0,0
2019-04-22,313.1941081180776,319.7106965481312,313.1941081180776,316.06060791015625,84014,0.0,0
2019-04-23,316.37799109601707,324.08762452191297,316.37799109601707,323.1723327636719,176584,0.0,0
2019-04-24,322.71608042858446,327.2291248752498,322.71608042858446,324.78912353515625,146421,0.0,0
2019-04-25,325.03706685008325,326.45543916512423,321.4663150010114,323.48974609375,104554,0.0,0
2019-04-26,323.4898046395079,326.2868663470431,321.1092827962375,326.1976013183594,102689,0.0,0
2019-04-29,326.5149569548874,329.13348819355275,317.8459891429897,327.92340087890625,83681,0.0,0
2019-04-30,329.30209404677487,329.30209404677487,313.5908170474959,324.12451171875,164516,0.0,0
2019-05-01,326.06857639966813,327.3580304740304,318.3914830370058,318.9469299316406,130049,0.0,0
2019-05-02,319.670989188538,324.02529907226557,318.09391360858314,324.0252990722656,116023,0.0,0
2019-05-03,325.8901164476693,328.5285048992076,323.5740991514249,328.40948486328125,120118,0.0,0
2019-05-06,324.1741289476322,330.7106044957249,324.1741289476322,330.4725341796875,84128,0.0,0
2019-05-07,328.4491150188352,329.92203312888137,327.31836432177636,329.4608154296875,116914,0.0,0
2019-05-08,329.3020960019912,331.0279466983848,326.9910434058961,327.3877868652344,112544,0.0,0
2019-05-09,326.3959242218298,331.40923371028293,324.3824215841221,329.8476257324219,96327,0.0,0
2019-05-10,329.0343081044962,332.94229331627605,326.2024974952477,331.9107360839844,127130,0.0,0
