,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-13 09:30:00-04:00,2865.0,2882.139892578125,2845.64990234375,2857.590087890625,327465,0,0
2021-09-13 10:30:00-04:00,2857.580078125,2871.4599609375,2855.074951171875,2865.050048828125,119707,0,0
2021-09-13 11:30:00-04:00,2864.81005859375,2881.89990234375,2857.85009765625,2877.2900390625,72458,0,0
2021-09-13 12:30:00-04:00,2877.27001953125,2883.0703125,2872.22509765625,2872.31005859375,83638,0,0
2021-09-13 13:30:00-04:00,2871.81005859375,2872.989990234375,2856.450927734375,2856.639892578125,60517,0,0
2021-09-13 14:30:00-04:00,2856.64990234375,2869.550048828125,2854.949951171875,2869.31005859375,74957,0,0
2021-09-13 15:30:00-04:00,2870.679931640625,2870.840087890625,2862.0,2869.300048828125,118065,0,0
2021-09-14 09:30:00-04:00,2883.219970703125,2894.550048828125,2863.639892578125,2870.0,190516,0,0
2021-09-14 10:30:00-04:00,2867.530029296875,2869.2900390625,2858.110107421875,2861.080078125,109108,0,0
2021-09-14 11:30:00-04:00,2861.669921875,2880.18994140625,2861.669921875,2875.0,120166,0,0
2021-09-14 12:30:00-04:00,2875.0,2878.93994140625,2871.52001953125,2878.760009765625,85085,0,0
2021-09-14 13:30:00-04:00,2878.409912109375,2878.93994140625,2864.3701171875,2867.2900390625,69589,0,0
2021-09-14 14:30:00-04:00,2866.52001953125,2876.409912109375,2865.296142578125,2867.85009765625,87567,0,0
2021-09-14 15:30:00-04:00,2867.72998046875,2870.0,2860.909912109375,2868.1201171875,165960,0,0
2021-09-15 09:30:00-04:00,2879.969970703125,2880.64990234375,2845.1201171875,2852.85009765625,210999,0,0
2021-09-15 10:30:00-04:00,2856.415283203125,2862.85009765625,2853.280029296875,2860.574951171875,75425,0,0
2021-09-15 11:30:00-04:00,2859.7900390625,2872.9599609375,2856.18994140625,2871.320068359375,77390,0,0
2021-09-15 12:30:00-04:00,2872.0,2892.945556640625,2871.179931640625,2891.4599609375,114648,0,0
2021-09-15 13:30:00-04:00,2891.1298828125,2902.840087890625,2888.520263671875,2900.64990234375,100831,0,0
2021-09-15 14:30:00-04:00,2901.389892578125,2911.6298828125,2900.945068359375,2907.179931640625,118117,0,0
