,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-13 09:30:00-04:00,38.349998474121094,38.380001068115234,36.56290054321289,37.11000061035156,15308847,0,0
2021-09-13 10:30:00-04:00,37.11000061035156,37.7400016784668,36.940101623535156,37.65999984741211,6130807,0,0
2021-09-13 11:30:00-04:00,37.65999984741211,38.150001525878906,37.61000061035156,38.084999084472656,4418691,0,0
2021-09-13 12:30:00-04:00,38.08000183105469,38.34000015258789,38.02000045776367,38.09000015258789,3319236,0,0
2021-09-13 13:30:00-04:00,38.09000015258789,38.36000061035156,37.97999954223633,38.0900993347168,3058970,0,0
2021-09-13 14:30:00-04:00,38.09989929199219,38.38930130004883,38.06010055541992,38.209999084472656,3063504,0,0
2021-09-13 15:30:00-04:00,38.21390151977539,38.380001068115234,38.150001525878906,38.380001068115234,2249254,0,0
2021-09-14 09:30:00-04:00,38.4900016784668,39.400001525878906,38.400001525878906,38.70000076293945,11156372,0,0
2021-09-14 10:30:00-04:00,38.708900451660156,38.72990036010742,38.20000076293945,38.36000061035156,5508433,0,0
2021-09-14 11:30:00-04:00,38.359901428222656,38.525001525878906,38.025001525878906,38.15999984741211,4248572,0,0
2021-09-14 12:30:00-04:00,38.150001525878906,38.165000915527344,37.88999938964844,38.07500076293945,2758034,0,0
2021-09-14 13:30:00-04:00,38.06999969482422,38.13999938964844,37.83000183105469,37.87799835205078,2262789,0,0
2021-09-14 14:30:00-04:00,37.87900161743164,37.939998626708984,37.689998626708984,37.849998474121094,2436161,0,0
2021-09-14 15:30:00-04:00,37.851898193359375,37.970001220703125,37.77000045776367,37.88999938964844,1936743,0,0
2021-09-15 09:30:00-04:00,38.0,38.150001525878906,36.95000076293945,37.35499954223633,10577270,0,0
2021-09-15 10:30:00-04:00,37.349998474121094,37.7599983215332,37.33000183105469,37.52130126953125,4308148,0,0
2021-09-15 11:30:00-04:00,37.52000045776367,37.558799743652344,37.33000183105469,37.43000030517578,2874826,0,0
2021-09-15 12:30:00-04:00,37.43000030517578,37.720001220703125,37.41910171508789,37.63999938964844,2038657,0,0
2021-09-15 13:30:00-04:00,37.64500045776367,37.95000076293945,37.61000061035156,37.93000030517578,1992779,0,0
2021-09-15 14:30:00-04:00,37.939998626708984,38.099998474121094,37.91999816894531,38.062198638916016,2619063,0,0
2021-09-15 15:30:00-04:00,38.060001373291016,38.099998474121094,38.0,38.01499938964844,2134905,0,0
2021-09-16 09:30:00-04:00,37.349998474121094,37.560001373291016,36.7400016784668,37.119998931884766,12774843,0,0
2021-09-16 10:30:00-04:00,37.11000061035156,37.16999816894531,36.880001068115234,36.970001220703125,4723962,0,0
2021-09-16 11:30:00-04:00,36.96500015258789,37.15999984741211,36.90999984741211,36.96849822998047,3636569,0,0
2021-09-16 12:30:00-04:00,36.968299865722656,37.0099983215332,36.81999969482422,36.92499923706055,2721274,0,0
2021-09-16 13:30:00-04:00,36.920101165771484,37.130001068115234,36.90999984741211,37.130001068115234,3038363,0,0
2021-09-16 14:30:00-04:00,37.130001068115234,37.25,37.02000045776367,37.02170181274414,2977507,0,0
2021-09-16 15:30:00-04:00,37.02000045776367,37.17499923706055,37.0099983215332,37.09000015258789,2209504,0,0
2021-09-17 09:30:00-04:00,37.29999923706055,37.56999969482422,37.040000915527344,37.33000183105469,8642679,0,0
2021-09-17 10:30:00-04:00,37.310001373291016,37.314998626708984,36.970001220703125,37.130001068115234,4321171,0,0
2021-09-17 11:30:00-04:00,37.130001068115234,37.40999984741211,37.029998779296875,37.373600006103516,3191525,0,0
2021-09-17 12:30:00-04:00,37.375,37.540000915527344,37.31999969482422,37.40129852294922,2783215,0,0
2021-09-17 13:30:00-04:00,37.40010070800781,37.40999984741211,37.099998474121094,37.1150016784668,2247044,0,0
2021-09-17 14:30:00-04:00,37.1150016784668,37.380001068115234,37.09000015258789,37.31999969482422,2101194,0,0
2021-09-17 15:30:00-04:00,37.33000183105469,37.53990173339844,37.310001373291016,37.5099983215332,3962202,0,0
2021-09-20 09:30:00-04:00,35.709999084472656,36.314998626708984,35.47999954223633,35.87099838256836,18104091,0,0
2021-09-20 10:30:00-04:00,35.869998931884766,35.91999816894531,35.47999954223633,35.599998474121094,8192473,0,0
2021-09-20 11:30:00-04:00,35.599998474121094,35.72999954223633,35.060001373291016,35.152198791503906,6628336,0,0
2021-09-20 12:30:00-04:00,35.150001525878906,35.2599983215332,34.70000076293945,35.09000015258789,7493623,0,0
2021-09-20 13:30:00-04:00,35.0900993347168,35.099998474121094,34.650001525878906,34.68899917602539,4481620,0,0
2021-09-20 14:30:00-04:00,34.68539810180664,34.875,34.540000915527344,34.83000183105469,6149916,0,0
2021-09-20 15:30:00-04:00,34.81999969482422,35.22999954223633,34.79999923706055,35.18000030517578,5685058,0,0
2021-09-21 09:30:00-04:00,35.52000045776367,35.81990051269531,34.90999984741211,35.20000076293945,11837665,0,0
2021-09-21 10:30:00-04:00,35.20000076293945,35.369998931884766,34.880001068115234,35.02410125732422,5131914,0,0
2021-09-21 11:30:00-04:00,35.025001525878906,35.349998474121094,34.9900016784668,35.30390167236328,4090958,0,0
2021-09-21 12:30:00-04:00,35.310001373291016,35.310001373291016,34.970001220703125,35.09000015258789,2672346,0,0
2021-09-21 13:30:00-04:00,35.09000015258789,35.255001068115234,35.04999923706055,35.06999969482422,2511379,0,0
2021-09-21 14:30:00-04:00,35.06999969482422,35.31999969482422,35.040000915527344,35.1349983215332,2422843,0,0
2021-09-21 15:30:00-04:00,35.1349983215332,35.15999984741211,34.900001525878906,34.904998779296875,2411626,0,0
2021-09-22 09:30:00-04:00,35.209999084472656,35.81999969482422,35.119998931884766,35.584999084472656,9449662,0,0
2021-09-22 10:30:00-04:00,35.59000015258789,35.63999938964844,35.349998474121094,35.625,3572041,0,0
2021-09-22 11:30:00-04:00,35.625,35.68000030517578,35.41999816894531,35.48789978027344,2427823,0,0
2021-09-22 12:30:00-04:00,35.48500061035156,35.54999923706055,35.31999969482422,35.44850158691406,2008007,0,0
2021-09-22 13:30:00-04:00,35.44499969482422,35.790000915527344,35.32040023803711,35.775001525878906,3205098,0,0
2021-09-22 14:30:00-04:00,35.77090072631836,35.81999969482422,35.5099983215332,35.7401008605957,3091045,0,0
2021-09-22 15:30:00-04:00,35.7400016784668,35.82500076293945,35.650001525878906,35.689998626708984,2381487,0,0
2021-09-23 09:30:00-04:00,36.459999084472656,36.470001220703125,35.70009994506836,35.7510986328125,9712056,0,0
2021-09-23 10:30:00-04:00,35.7599983215332,35.90999984741211,35.56999969482422,35.78099822998047,4077870,0,0
2021-09-23 11:30:00-04:00,35.779998779296875,35.790000915527344,35.59000015258789,35.72359848022461,3048732,0,0
2021-09-23 12:30:00-04:00,35.724998474121094,35.81999969482422,35.689998626708984,35.801300048828125,1886585,0,0
2021-09-23 13:30:00-04:00,35.80500030517578,36.06999969482422,35.779998779296875,36.05189895629883,2714101,0,0
2021-09-23 14:30:00-04:00,36.060001373291016,36.119998931884766,35.96500015258789,36.1150016784668,2711178,0,0
2021-09-23 15:30:00-04:00,36.1150016784668,36.16999816894531,35.959999084472656,36.005001068115234,2321062,0,0
2021-09-24 09:30:00-04:00,35.59000015258789,36.06999969482422,35.25,35.47990036010742,8885321,0,0
2021-09-24 10:30:00-04:00,35.48500061035156,35.65010070800781,35.36000061035156,35.380001068115234,3529729,0,0
