Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-12,52.369998931884766,53.5,52.119998931884766,53.0099983215332,660703,0,0
2017-01-13,53.04999923706055,53.16999816894531,52.27000045776367,52.369998931884766,477986,0,0
2017-01-17,52.54999923706055,53.52000045776367,52.119998931884766,52.47999954223633,606023,0,0
2017-01-18,52.52000045776367,52.790000915527344,50.90999984741211,51.08000183105469,236238,0,0
2017-01-19,51.38999938964844,51.869998931884766,51.02000045776367,51.369998931884766,122593,0,0
2017-01-20,51.45000076293945,52.900001525878906,51.38999938964844,52.41999816894531,567231,0,0
2017-01-23,53.33000183105469,53.470001220703125,52.209999084472656,52.75,455333,0,0
2017-01-24,52.86000061035156,53.560001373291016,52.66999816894531,53.18000030517578,520285,0,0
2017-01-25,52.95000076293945,53.470001220703125,52.560001373291016,52.75,589709,0,0
2017-01-26,52.959999084472656,54.060001373291016,52.790000915527344,53.779998779296875,578065,0,0
2017-01-27,53.7400016784668,54.08000183105469,52.58000183105469,53.16999816894531,495556,0,0
2017-01-30,53.150001525878906,53.459999084472656,52.40999984741211,52.630001068115234,486309,0,0
2017-01-31,52.599998474121094,53.560001373291016,52.2400016784668,52.810001373291016,586676,0,0
2017-02-01,52.7599983215332,53.90999984741211,52.63999938964844,53.880001068115234,577243,0,0
2017-02-02,53.56999969482422,54.34000015258789,53.349998474121094,53.540000915527344,492553,0,0
2017-02-03,53.68000030517578,54.220001220703125,53.400001525878906,53.83000183105469,462616,0,0
2017-02-06,53.810001373291016,54.130001068115234,52.90999984741211,53.0099983215332,425085,0,0
2017-02-07,53.13999938964844,53.2400016784668,51.630001068115234,52.16999816894531,624057,0,0
2017-02-08,51.63999938964844,52.66999816894531,51.220001220703125,52.34000015258789,767379,0,0
2017-02-09,52.369998931884766,53.209999084472656,52.369998931884766,53.0,610196,0,0
2017-02-10,53.150001525878906,54.130001068115234,52.900001525878906,53.86000061035156,596449,0,0
2017-02-13,53.79999923706055,53.95000076293945,52.77000045776367,52.93000030517578,586034,0,0
2017-02-14,52.90999984741211,53.720001220703125,52.86000061035156,53.20000076293945,493022,0,0
2017-02-15,53.0,53.5099983215332,52.72999954223633,53.11000061035156,463638,0,0
2017-02-16,53.0099983215332,53.59000015258789,52.68000030517578,53.36000061035156,343363,0,0
2017-02-17,53.470001220703125,53.52000045776367,52.880001068115234,53.400001525878906,195352,0,0
2017-02-21,53.47999954223633,54.68000030517578,53.349998474121094,54.060001373291016,665310,0,0
2017-02-22,54.2599983215332,54.599998474121094,53.349998474121094,53.59000015258789,499480,0,0
2017-02-23,53.90999984741211,54.939998626708984,53.869998931884766,54.45000076293945,529880,0,0
2017-02-24,54.33000183105469,54.5099983215332,53.7599983215332,53.9900016784668,395258,0,0
2017-02-27,54.02000045776367,54.61000061035156,53.939998626708984,54.04999923706055,394380,0,0
2017-02-28,54.040000915527344,54.22999954223633,53.18000030517578,54.0099983215332,593909,0,0
2017-03-01,53.95000076293945,54.439998626708984,53.630001068115234,53.83000183105469,491289,0,0
2017-03-02,53.689998626708984,53.79999923706055,52.540000915527344,52.61000061035156,638390,0,0
2017-03-03,52.58000183105469,53.38999938964844,52.54999923706055,53.33000183105469,436360,0,0
2017-03-06,53.189998626708984,53.560001373291016,52.7599983215332,53.20000076293945,503692,0,0
2017-03-07,53.16999816894531,53.79999923706055,52.709999084472656,53.13999938964844,494677,0,0
2017-03-08,52.790000915527344,52.91999816894531,50.04999923706055,50.279998779296875,963392,0,0
2017-03-09,50.220001220703125,50.84000015258789,48.59000015258789,49.279998779296875,1073506,0,0
2017-03-10,49.61000061035156,50.11000061035156,48.310001373291016,48.4900016784668,796960,0,0
2017-03-13,48.45000076293945,48.68000030517578,47.900001525878906,48.400001525878906,601362,0,0
2017-03-14,48.45000076293945,48.790000915527344,47.09000015258789,47.720001220703125,857711,0,0
2017-03-15,48.7599983215332,49.040000915527344,48.15999984741211,48.86000061035156,655788,0,0
2017-03-16,49.0099983215332,49.619998931884766,48.45000076293945,48.75,516853,0,0
2017-03-17,48.790000915527344,49.20000076293945,48.599998474121094,48.779998779296875,172340,0,0
2017-03-20,48.70000076293945,48.7400016784668,47.84000015258789,48.220001220703125,142258,0,0
2017-03-21,47.93000030517578,48.72999954223633,47.22999954223633,47.34000015258789,628119,0,0
2017-03-22,48.15999984741211,48.31999969482422,47.0099983215332,48.040000915527344,680849,0,0
2017-03-23,48.150001525878906,48.47999954223633,47.58000183105469,47.70000076293945,499878,0,0
2017-03-24,47.66999816894531,48.20000076293945,47.540000915527344,47.970001220703125,421027,0,0
2017-03-27,48.119998931884766,48.279998779296875,47.08000183105469,47.72999954223633,466176,0,0
2017-03-28,47.88999938964844,48.7400016784668,47.79999923706055,48.369998931884766,502377,0,0
2017-03-29,48.470001220703125,49.630001068115234,48.380001068115234,49.5099983215332,548615,0,0
2017-03-30,49.599998474121094,50.470001220703125,49.27000045776367,50.349998474121094,580668,0,0
2017-03-31,50.31999969482422,50.849998474121094,49.900001525878906,50.599998474121094,527607,0,0
2017-04-03,50.689998626708984,50.83000183105469,50.119998931884766,50.2400016784668,440724,0,0
2017-04-04,50.2400016784668,51.29999923706055,49.880001068115234,51.029998779296875,532054,0,0
