Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-09,1288.25,1297.5,1272.75,1289.0,3871359,0,0
2012-01-16,1285.25,1311.75,1281.25,1310.75,7104182,0,0
2012-01-23,1307.5,1329.75,1301.5,1312.5,8804410,0,0
2012-01-30,1314.0,1342.0,1296.0,1339.0,8577829,0,0
2012-02-06,1336.5,1352.75,1330.25,1340.5,7705797,0,0
2012-02-13,1347.25,1361.25,1334.25,1359.75,8470272,0,0
2012-02-20,1366.75,1369.5,1350.25,1363.25,5791535,0,0
2012-02-27,1363.25,1377.25,1353.0,1368.75,8908763,0,0
2012-03-05,1367.25,1374.5,1338.5,1372.5,8776220,0,0
2012-03-12,1372.75,1406.25,1366.0,1405.75,4182403,0,0
2012-03-19,1397.25,1408.0,1380.5,1394.0,7884324,0,0
2012-03-26,1393.75,1419.75,1386.25,1403.25,7914288,0,0
2012-04-02,1407.25,1417.75,1372.0,1390.25,6964356,0,0
2012-04-09,1375.0,1388.5,1352.5,1365.0,9134746,0,0
2012-04-16,1366.0,1390.0,1359.25,1375.25,10097011,0,0
2012-04-23,1372.25,1403.0,1354.0,1398.5,8400187,0,0
2012-04-30,1400.25,1411.75,1361.5,1362.5,8148063,0,0
2012-05-07,1354.0,1370.25,1339.25,1350.0,10121492,0,0
2012-05-14,1346.0,1351.0,1289.75,1290.75,12321160,0,0
2012-05-21,1291.75,1329.75,1287.25,1315.0,10748338,0,0
2012-05-28,1322.0,1334.25,1273.5,1274.0,10575154,0,0
2012-06-04,1275.0,1329.5,1262.0,1328.75,11129089,0,0
2012-06-11,1342.0,1349.0,1303.75,1335.75,4803505,0,0
2012-06-18,1345.25,1357.0,1317.5,1326.75,10785118,0,0
2012-06-25,1325.5,1359.5,1302.5,1356.5,10050391,0,0
2012-07-02,1358.75,1375.0,1342.25,1351.75,6576126,0,0
2012-07-09,1349.25,1356.5,1319.75,1351.75,9070369,0,0
2012-07-16,1351.25,1376.0,1339.25,1358.25,8859002,0,0
2012-07-23,1355.5,1385.0,1321.25,1382.5,10805340,0,0
2012-07-30,1379.25,1390.5,1349.25,1389.0,9842596,0,0
2012-08-06,1390.25,1403.75,1387.25,1402.5,6285815,0,0
2012-08-13,1400.5,1416.75,1394.25,1415.25,6376298,0,0
2012-08-20,1415.0,1424.75,1395.25,1409.75,7682019,0,0
2012-08-27,1410.0,1416.0,1395.25,1405.0,6365863,0,0
2012-09-03,1406.25,1438.75,1394.5,1438.25,6622255,0,0
2012-09-10,1436.75,1474.75,1421.5,1465.75,8147015,0,0
2012-09-17,1465.75,1469.25,1450.0,1468.25,3811341,0,0
2012-09-24,1450.25,1457.0,1424.0,1434.25,8725020,0,0
