,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-12 21:00:00-05:00,3271.0,3273.75,3270.25,3273.5,0,0,0
2020-01-12 22:00:00-05:00,3273.5,3274.25,3273.0,3273.75,3622,0,0
2020-01-12 23:00:00-05:00,3273.75,3274.0,3273.25,3273.5,1540,0,0
2020-01-13 00:00:00-05:00,3273.5,3274.75,3273.25,3273.75,2751,0,0
2020-01-13 01:00:00-05:00,3274.0,3275.0,3273.25,3273.5,3314,0,0
2020-01-13 02:00:00-05:00,3273.5,3274.75,3272.5,3273.0,5608,0,0
2020-01-13 03:00:00-05:00,3273.0,3276.75,3273.0,3276.0,16550,0,0
2020-01-13 04:00:00-05:00,3276.0,3278.25,3274.25,3278.0,17169,0,0
2020-01-13 05:00:00-05:00,3278.0,3278.25,3276.25,3278.0,9260,0,0
2020-01-13 06:00:00-05:00,3277.75,3278.0,3271.5,3271.75,15322,0,0
2020-01-13 07:00:00-05:00,3271.75,3275.5,3271.25,3274.25,16759,0,0
2020-01-13 08:00:00-05:00,3274.25,3277.5,3273.25,3274.5,21017,0,0
2020-01-13 09:00:00-05:00,3274.5,3276.0,3268.0,3275.5,165836,0,0
2020-01-13 10:00:00-05:00,3275.25,3277.75,3271.75,3277.25,125888,0,0
2020-01-13 11:00:00-05:00,3277.5,3281.75,3276.25,3281.75,130147,0,0
2020-01-13 12:00:00-05:00,3281.75,3284.5,3281.5,3282.0,77626,0,0
2020-01-13 13:00:00-05:00,3282.25,3283.75,3280.75,3281.5,50268,0,0
2020-01-13 14:00:00-05:00,3281.5,3285.0,3280.25,3284.5,58440,0,0
2020-01-13 15:00:00-05:00,3284.5,3288.75,3282.5,3288.5,140638,0,0
2020-01-13 16:00:00-05:00,3288.5,3291.0,3287.5,3288.75,66433,0,0
2020-01-13 17:00:00-05:00,3288.75,3289.0,3288.75,3289.0,25,0,0
2020-01-13 18:00:00-05:00,3289.25,3294.25,3288.75,3294.0,0,0,0
2020-01-13 19:00:00-05:00,3294.0,3296.75,3293.25,3294.75,15247,0,0
2020-01-13 20:00:00-05:00,3294.75,3295.25,3292.25,3292.75,11671,0,0
2020-01-13 21:00:00-05:00,3293.0,3293.75,3291.25,3291.25,7451,0,0
2020-01-13 22:00:00-05:00,3291.25,3291.5,3287.5,3289.0,10647,0,0
2020-01-13 23:00:00-05:00,3289.0,3290.0,3288.5,3289.5,3935,0,0
2020-01-14 00:00:00-05:00,3289.25,3290.75,3287.5,3288.25,5822,0,0
2020-01-14 01:00:00-05:00,3288.25,3290.25,3287.75,3289.75,4936,0,0
2020-01-14 02:00:00-05:00,3289.75,3290.5,3285.25,3285.5,10477,0,0
2020-01-14 03:00:00-05:00,3285.5,3286.0,3275.25,3283.0,48556,0,0
2020-01-14 04:00:00-05:00,3283.0,3292.5,3282.0,3291.0,32136,0,0
2020-01-14 05:00:00-05:00,3290.75,3291.75,3283.5,3286.25,23663,0,0
2020-01-14 06:00:00-05:00,3286.0,3287.5,3281.25,3287.0,25312,0,0
2020-01-14 07:00:00-05:00,3287.0,3289.0,3285.75,3287.0,17777,0,0
2020-01-14 08:00:00-05:00,3286.75,3289.5,3284.25,3288.25,37376,0,0
2020-01-14 09:00:00-05:00,3288.75,3288.75,3279.25,3280.25,230057,0,0
2020-01-14 10:00:00-05:00,3280.25,3286.75,3279.0,3284.5,190795,0,0
2020-01-14 11:00:00-05:00,3284.25,3288.75,3283.75,3288.75,113065,0,0
2020-01-14 12:00:00-05:00,3288.75,3293.0,3287.75,3291.75,76551,0,0
2020-01-14 13:00:00-05:00,3291.5,3295.0,3282.5,3284.75,256093,0,0
2020-01-14 14:00:00-05:00,3285.0,3289.75,3277.25,3285.25,213801,0,0
2020-01-14 15:00:00-05:00,3285.0,3286.5,3278.75,3283.5,237814,0,0
2020-01-14 16:00:00-05:00,3283.25,3288.5,3282.75,3287.75,0,0,0
2020-01-14 18:00:00-05:00,3287.75,3288.25,3278.5,3279.0,17491,0,0
2020-01-14 19:00:00-05:00,3279.0,3282.5,3277.75,3280.75,11933,0,0
2020-01-14 20:00:00-05:00,3280.75,3286.25,3280.25,3284.0,13003,0,0
2020-01-14 21:00:00-05:00,3283.75,3284.5,3278.75,3279.75,12693,0,0
2020-01-14 22:00:00-05:00,3279.75,3280.75,3278.25,3280.5,6915,0,0
2020-01-14 23:00:00-05:00,3280.25,3281.0,3279.25,3280.75,4274,0,0
2020-01-15 00:00:00-05:00,3280.75,3282.75,3279.0,3282.0,6590,0,0
2020-01-15 01:00:00-05:00,3282.0,3283.75,3281.0,3282.75,5506,0,0
2020-01-15 02:00:00-05:00,3283.0,3285.75,3282.25,3284.75,8407,0,0
2020-01-15 03:00:00-05:00,3284.5,3286.5,3280.75,3283.5,22841,0,0
2020-01-15 04:00:00-05:00,3283.75,3284.5,3282.25,3283.0,10761,0,0
2020-01-15 05:00:00-05:00,3283.0,3285.75,3283.0,3285.25,9232,0,0
2020-01-15 06:00:00-05:00,3285.0,3287.5,3285.0,3286.75,13021,0,0
2020-01-15 07:00:00-05:00,3286.75,3288.5,3284.5,3287.25,20019,0,0
2020-01-15 08:00:00-05:00,3287.25,3287.75,3279.0,3280.0,33925,0,0
2020-01-15 09:00:00-05:00,3280.0,3295.5,3279.0,3295.0,196069,0,0
2020-01-15 10:00:00-05:00,3294.75,3298.0,3291.75,3298.0,202764,0,0
2020-01-15 11:00:00-05:00,3297.75,3299.0,3292.0,3295.25,162229,0,0
2020-01-15 12:00:00-05:00,3295.5,3297.5,3289.75,3290.5,108181,0,0
2020-01-15 13:00:00-05:00,3290.5,3291.75,3286.25,3288.25,130149,0,0
2020-01-15 14:00:00-05:00,3288.25,3295.5,3287.75,3291.5,89834,0,0
2020-01-15 15:00:00-05:00,3291.75,3292.0,3281.25,3290.75,274767,0,0
2020-01-15 16:00:00-05:00,3290.75,3294.25,3290.5,3294.25,60517,0,0
2020-01-15 18:00:00-05:00,3294.25,3300.0,3294.0,3297.0,0,0,0
