Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-09,602249984.0,658025024.0,588750016.0,620750016.0,0,0,0
2012-01-16,620750016.0,620750016.0,502249984.0,505000000.0,0,0,0
2012-01-23,503750016.0,510000000.0,420000000.0,422500000.0,2,0,0
2012-01-30,454000000.0,461000000.0,356249984.0,356470016.0,2,0,0
2012-02-06,363249984.0,527500000.0,346750016.0,476350016.0,2,0,0
2012-02-13,425500000.0,517249984.0,404249984.0,426249984.0,7,0,0
2012-02-20,426249984.0,446500000.0,390500000.0,416500000.0,4,0,0
2012-02-27,433750016.0,437500000.0,403249984.0,405500000.0,2,0,0
2012-03-05,411750016.0,441000000.0,361249984.0,372249984.0,1,0,0
2012-03-12,369750016.0,371000000.0,337500000.0,370249984.0,1,0,0
2012-03-19,373249984.0,393500000.0,177500000.0,179000000.0,2,0,0
2012-03-26,164000000.0,208500000.0,146000000.0,180724992.0,4,0,0
2012-04-02,187000000.0,204000000.0,171250000.0,192250000.0,1,0,0
2012-04-09,215250000.0,244250000.0,199470000.0,213250000.0,2,0,0
2012-04-16,203250000.0,224750000.0,187750000.0,190500000.0,0,0,0
2012-04-23,203750000.0,208750000.0,161000000.0,164500000.0,0,0,0
2012-04-30,167250000.0,177000000.0,151500000.0,172750000.0,0,0,0
2012-05-07,182750000.0,187250000.0,163500000.0,175250000.0,2,0,0
2012-05-14,186750000.0,279387488.0,182000000.0,270000000.0,4,0,0
2012-05-21,265500000.0,274500000.0,192500000.0,218000000.0,4,0,0
2012-05-28,218000000.0,262000000.0,198250000.0,259000000.0,4,0,0
2012-06-04,252750000.0,269249984.0,180750000.0,181500000.0,5,0,0
2012-06-11,170000000.0,220000000.0,168000000.0,179750000.0,5,0,0
2012-06-18,177000000.0,181750000.0,134500000.0,137750000.0,5,0,0
2012-06-25,149750000.0,155750000.0,122000000.0,122700000.0,1,0,0
2012-07-02,120000000.0,121250000.0,96250000.0,104250000.0,0,0,0
2012-07-09,102250000.0,108250000.0,90250000.0,90500000.0,0,0,0
2012-07-16,90000000.0,92000000.0,78000000.0,85750000.0,0,0,0
2012-07-23,98375000.0,110000000.0,82040000.0,84000000.0,2,0,0
2012-07-30,82750000.0,92800000.0,75000000.0,75250000.0,0,0,0
2012-08-06,72000000.0,73500000.0,64500000.0,65250000.0,0,0,0
2012-08-13,65250000.0,68750000.0,61250000.0,62750000.0,0,0,0
2012-08-20,63750000.0,69500000.0,60000000.0,63500000.0,1,0,0
2012-08-27,62500000.0,70000000.0,61500000.0,65250000.0,0,0,0
2012-09-03,65250000.0,67502496.0,43250000.0,43750000.0,2,0,0
2012-09-10,45000000.0,48250000.0,35250000.0,39750000.0,3,0,0
2012-09-17,41000000.0,41750000.0,35000000.0,36000000.0,0,0,0
2012-09-24,37000000.0,44250000.0,34000000.0,38000000.0,2,0,0
2012-10-01,36500000.0,39500000.0,32250000.0,34750000.0,1,0,0
