Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-13,6580.0,6820.0,6480.0,6670.0,12159,0,0
2017-01-17,6850.0,6900.0,6570.0,6640.0,15591,0,0
2017-01-18,6520.0,6640.0,6380.0,6570.0,13154,0,0
2017-01-19,6500.0,6830.0,6446.0,6720.0,14182,0,0
2017-01-20,6570.0,6620.0,6190.0,6210.0,18681,0,0
2017-01-23,6220.0,6430.0,6090.0,6100.0,16328,0,0
2017-01-24,5950.0,5960.0,5460.0,5520.0,16476,0,0
2017-01-25,5350.0,5420.0,5210.0,5260.0,11761,0,0
2017-01-26,5290.0,5430.0,5200.0,5320.0,12688,0,0
2017-01-27,5280.0,5380.0,5160.0,5210.0,11425,0,0
2017-01-30,5410.0,5930.0,5410.0,5490.0,27235,0,0
2017-01-31,5580.0,5770.0,5420.0,5440.0,21515,0,0
2017-02-01,5210.0,5373.0,5110.0,5240.0,18234,0,0
2017-02-02,5330.0,5410.0,5220.0,5330.0,13058,0,0
2017-02-03,5130.0,5180.0,5000.0,5100.0,14593,0,0
2017-02-06,5210.0,5234.89990234375,5040.0,5110.0,12440,0,0
2017-02-07,5070.0,5190.0,5050.0,5170.0,11979,0,0
2017-02-08,5200.0,5330.0,5070.0,5130.0,12890,0,0
2017-02-09,5070.0,5090.0,4820.0,4920.0,15446,0,0
2017-02-10,4800.0,4830.0,4690.0,4760.0,11436,0,0
2017-02-13,4590.0,4620.0,4424.0,4450.0,15201,0,0
2017-02-14,4450.0,4460.0,4060.0,4070.0,18688,0,0
2017-02-15,4060.0,4330.0,4000.0,4320.0,21674,0,0
2017-02-16,4320.0,4810.0,4310.0,4360.0,27806,0,0
2017-02-17,4580.0,4650.0,4360.0,4400.0,15229,0,0
2017-02-21,4270.0,4520.0,4240.0,4500.0,13800,0,0
2017-02-22,4570.0,4700.0,4430.0,4540.0,16468,0,0
2017-02-23,4550.0,4910.0,4520.10009765625,4780.0,17940,0,0
2017-02-24,5130.0,5180.0,4630.0,4670.0,22039,0,0
2017-02-27,4660.0,4740.0,4410.0,4600.0,16604,0,0
2017-02-28,4660.0,4900.0,4590.0,4850.0,16103,0,0
2017-03-01,4430.0,4650.0,4370.0,4640.0,21514,0,0
2017-03-02,4630.0,4750.10009765625,4470.0,4660.0,17257,0,0
2017-03-03,4540.0,4540.0,4350.0,4400.0,14447,0,0
2017-03-06,4360.0,4410.0,4180.0,4230.0,13636,0,0
2017-03-07,4220.0,4310.0,4080.0,4220.0,11895,0,0
2017-03-08,4130.0,4310.0,4050.0,4280.0,13823,0,0
2017-03-09,4230.0,4380.0,4130.0,4240.0,13537,0,0
2017-03-10,4140.0,4270.0,4100.0,4130.0,11636,0,0
2017-03-13,4090.0,4130.0,3930.0,3950.0,11028,0,0
2017-03-14,3980.0,4140.0,3920.0,4090.0,17781,0,0
2017-03-15,3990.0,4020.0,3711.0,3780.0,20640,0,0
2017-03-16,3731.0,3755.0,3609.0,3628.0,57538,0,0
2017-03-17,3573.0,3587.0,3430.0,3535.0,39436,0,0
2017-03-20,3530.0,3547.0,3446.0,3541.0,32402,0,0
2017-03-21,3410.0,3878.0,3357.0,3807.0,84850,0,0
2017-03-22,3878.0,3988.300048828125,3730.0,3849.0,57828,0,0
2017-03-23,3919.0,4149.0,3742.0,4110.0,53931,0,0
2017-03-24,3986.0,4320.0,3814.0,3956.0,82266,0,0
2017-03-27,4269.0,4320.0,3728.0,3794.0,62824,0,0
2017-03-28,3719.0,3728.989990234375,3375.0,3390.0,67956,0,0
2017-03-29,3361.0,3415.0,3290.0,3362.0,33405,0,0
2017-03-30,3370.0,3452.0,3328.0,3384.0,33923,0,0
2017-03-31,3392.0,3518.0,3347.0,3508.0,34845,0,0
2017-04-03,3507.0,3793.0,3471.0,3539.0,51438,0,0
2017-04-04,3634.0,3666.0,3415.199951171875,3448.0,41619,0,0
2017-04-05,3369.0,3695.0,3294.0,3674.0,58334,0,0
2017-04-06,3591.0,3646.0,3385.0,3540.0,65644,0,0
2017-04-07,3644.0,3817.0,3562.0,3792.0,61955,0,0
2017-04-10,3824.0,4068.0,3729.0,4068.0,58858,0,0
2017-04-11,4273.0,4524.0,4209.0,4435.0,90460,0,0
2017-04-12,4452.0,4572.0,4323.0,4480.0,61188,0,0
2017-04-13,4511.0,4719.0,4327.0,4649.0,72939,0,0
2017-04-17,4493.0,4503.0,4183.0,4184.0,47998,0,0
2017-04-18,4283.0,4437.0,4100.0,4100.0,57545,0,0
2017-04-19,3982.0,4368.0,3925.0,4310.0,59319,0,0
