,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-13 09:30:00-04:00,256.0199890136719,257.32000732421875,256.0199890136719,256.1700134277344,52911,0,0
2021-07-13 10:30:00-04:00,256.4200134277344,257.2300109863281,256.010009765625,257.1300048828125,36210,0,0
2021-07-13 11:30:00-04:00,257.0299987792969,257.1199951171875,256.5299987792969,256.7099914550781,33897,0,0
2021-07-13 12:30:00-04:00,256.7200012207031,257.1099853515625,256.25,256.30999755859375,73719,0,0
2021-07-13 13:30:00-04:00,256.30999755859375,256.82000732421875,256.0,256.5150146484375,54712,0,0
2021-07-13 14:30:00-04:00,256.4750061035156,256.5199890136719,255.6999969482422,255.83999633789062,40048,0,0
2021-07-13 15:30:00-04:00,255.80999755859375,256.3900146484375,255.63999938964844,255.6699981689453,68472,0,0
2021-07-14 09:30:00-04:00,256.7699890136719,256.7699890136719,254.66000366210938,254.69000244140625,34947,0,0
2021-07-14 10:30:00-04:00,254.7100067138672,255.52000427246094,254.57000732421875,254.83999633789062,79296,0,0
2021-07-14 11:30:00-04:00,254.82000732421875,254.97999572753906,253.74000549316406,254.36000061035156,41708,0,0
2021-07-14 12:30:00-04:00,254.38999938964844,254.7899932861328,253.5399932861328,253.875,76889,0,0
2021-07-14 13:30:00-04:00,253.9600067138672,255.2100067138672,253.94000244140625,254.67990112304688,39130,0,0
2021-07-14 14:30:00-04:00,254.6999969482422,255.1649932861328,254.5,254.5050048828125,36503,0,0
2021-07-14 15:30:00-04:00,254.39999389648438,254.5800018310547,254.06500244140625,254.49000549316406,71622,0,0
2021-07-15 09:30:00-04:00,253.47999572753906,253.61000061035156,251.72999572753906,253.22999572753906,67149,0,0
2021-07-15 10:30:00-04:00,253.42999267578125,255.21499633789062,253.42999267578125,254.0,48627,0,0
2021-07-15 11:30:00-04:00,254.0,254.67999267578125,253.89999389648438,254.10499572753906,28962,0,0
2021-07-15 12:30:00-04:00,254.07000732421875,254.5399932861328,252.77000427246094,252.8800048828125,57801,0,0
2021-07-15 13:30:00-04:00,252.68499755859375,253.3300018310547,252.07000732421875,253.3300018310547,28603,0,0
2021-07-15 14:30:00-04:00,253.22500610351562,253.80999755859375,252.9199981689453,253.5800018310547,35816,0,0
2021-07-15 15:30:00-04:00,253.57000732421875,254.42999267578125,253.35000610351562,253.92999267578125,87382,0,0
2021-07-16 09:30:00-04:00,255.0399932861328,255.99000549316406,253.64999389648438,253.64999389648438,47681,0,0
2021-07-16 10:30:00-04:00,253.60499572753906,254.6199951171875,253.4499969482422,254.0500030517578,61368,0,0
2021-07-16 11:30:00-04:00,253.82000732421875,254.5399932861328,253.82000732421875,254.1199951171875,40206,0,0
2021-07-16 12:30:00-04:00,254.10000610351562,254.32000732421875,252.85040283203125,252.85040283203125,49811,0,0
2021-07-16 13:30:00-04:00,252.80999755859375,253.82000732421875,252.0800018310547,253.5399932861328,57520,0,0
2021-07-16 14:30:00-04:00,253.47999572753906,253.7100067138672,252.50999450683594,252.64999389648438,30882,0,0
2021-07-16 15:30:00-04:00,252.66000366210938,253.47000122070312,252.63999938964844,253.36000061035156,66503,0,0
2021-07-19 09:30:00-04:00,249.57000732421875,250.02999877929688,247.41000366210938,249.2550048828125,483108,0,0
2021-07-19 10:30:00-04:00,249.33999633789062,253.07000732421875,249.3300018310547,252.86000061035156,82637,0,0
2021-07-19 11:30:00-04:00,252.77499389648438,253.65499877929688,252.35000610351562,252.55999755859375,56139,0,0
2021-07-19 12:30:00-04:00,252.49000549316406,252.97999572753906,252.1999969482422,252.2899932861328,76686,0,0
2021-07-19 13:30:00-04:00,252.19000244140625,252.63999938964844,251.6699981689453,252.4600067138672,69047,0,0
2021-07-19 14:30:00-04:00,252.3350067138672,252.8199005126953,252.02999877929688,252.42999267578125,77178,0,0
2021-07-19 15:30:00-04:00,252.39500427246094,254.08999633789062,252.3300018310547,254.02999877929688,164753,0,0
2021-07-20 09:30:00-04:00,254.77000427246094,255.4600067138672,253.82000732421875,253.97000122070312,69093,0,0
2021-07-20 10:30:00-04:00,254.01499938964844,256.44500732421875,253.86000061035156,255.05999755859375,78094,0,0
2021-07-20 11:30:00-04:00,254.9499969482422,255.94000244140625,254.86500549316406,255.06500244140625,62154,0,0
2021-07-20 12:30:00-04:00,255.18499755859375,255.38999938964844,253.5500030517578,254.0399932861328,96178,0,0
2021-07-20 13:30:00-04:00,254.16000366210938,255.5218963623047,254.1199951171875,254.93499755859375,94295,0,0
2021-07-20 14:30:00-04:00,255.0,256.1474914550781,254.92999267578125,255.71499633789062,134260,0,0
2021-07-20 15:30:00-04:00,255.63999938964844,256.25,255.3699951171875,255.69000244140625,122598,0,0
2021-07-21 09:30:00-04:00,256.489990234375,258.2699890136719,254.8800048828125,256.6700134277344,64418,0,0
2021-07-21 10:30:00-04:00,256.44500732421875,257.07000732421875,256.0950012207031,256.2149963378906,39243,0,0
2021-07-21 11:30:00-04:00,256.3500061035156,256.8999938964844,255.8699951171875,255.94000244140625,49398,0,0
2021-07-21 12:30:00-04:00,255.9600067138672,256.67498779296875,255.89999389648438,256.5299987792969,37029,0,0
2021-07-21 13:30:00-04:00,256.5,256.6000061035156,256.0799865722656,256.5299987792969,49127,0,0
2021-07-21 14:30:00-04:00,256.57000732421875,256.6499938964844,256.4200134277344,256.4800109863281,63021,0,0
2021-07-21 15:30:00-04:00,256.4800109863281,256.625,255.77999877929688,256.5799865722656,83506,0,0
2021-07-22 09:30:00-04:00,256.8500061035156,257.835205078125,255.74000549316406,255.92999267578125,47286,0,0
2021-07-22 10:30:00-04:00,255.67999267578125,255.94000244140625,253.30999755859375,253.9199981689453,137330,0,0
2021-07-22 11:30:00-04:00,253.94500732421875,254.63499450683594,253.55999755859375,254.22999572753906,167722,0,0
2021-07-22 12:30:00-04:00,254.27000427246094,255.14999389648438,254.27000427246094,254.9600067138672,67623,0,0
2021-07-22 13:30:00-04:00,254.91000366210938,256.739990234375,254.66000366210938,256.45001220703125,56947,0,0
2021-07-22 14:30:00-04:00,256.44500732421875,256.75,256.385009765625,256.4599914550781,38154,0,0
2021-07-22 15:30:00-04:00,256.4150085449219,257.32000732421875,256.2799987792969,257.1099853515625,100923,0,0
2021-07-23 09:30:00-04:00,258.8999938964844,261.2149963378906,258.8999938964844,261.0799865722656,47560,0,0
2021-07-23 10:30:00-04:00,260.9700012207031,261.07000732421875,260.0849914550781,260.5,40769,0,0
2021-07-23 11:30:00-04:00,260.44000244140625,260.4750061035156,258.6000061035156,259.5799865722656,66106,0,0
2021-07-23 12:30:00-04:00,259.6400146484375,259.9700012207031,258.6700134277344,259.7799987792969,46904,0,0
2021-07-23 13:30:00-04:00,259.69000244140625,259.9049987792969,259.2300109863281,259.7799987792969,44398,0,0
2021-07-23 14:30:00-04:00,259.8500061035156,260.1000061035156,259.57501220703125,259.7799987792969,52427,0,0
2021-07-23 15:30:00-04:00,260.0199890136719,261.4599914550781,260.0199890136719,260.6199951171875,77733,0,0
2021-07-26 09:30:00-04:00,260.25,261.5899963378906,258.9949951171875,260.2900085449219,48035,0,0
2021-07-26 10:30:00-04:00,260.364990234375,262.375,260.07000732421875,261.82000732421875,36748,0,0
2021-07-26 11:30:00-04:00,261.95001220703125,262.6700134277344,261.92999267578125,262.2900085449219,35512,0,0
2021-07-26 12:30:00-04:00,262.4599914550781,263.32000732421875,262.32000732421875,263.1600036621094,66117,0,0
2021-07-26 13:30:00-04:00,263.17999267578125,263.5,262.07000732421875,263.30999755859375,93559,0,0
2021-07-26 14:30:00-04:00,263.5299987792969,263.6099853515625,262.3599853515625,263.0495910644531,67009,0,0
2021-07-26 15:30:00-04:00,263.04998779296875,263.45001220703125,262.6300048828125,263.19000244140625,100254,0,0
2021-07-27 09:30:00-04:00,262.3399963378906,264.3399963378906,261.5899963378906,264.0899963378906,36912,0,0
2021-07-27 10:30:00-04:00,264.0899963378906,264.4599914550781,261.8900146484375,262.0199890136719,40440,0,0
2021-07-27 11:30:00-04:00,262.04998779296875,262.3399963378906,260.44000244140625,261.1300048828125,34822,0,0
