,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-13 09:30:00-04:00,367.0400085449219,370.3800048828125,365.875,369.239990234375,114564,0,0
2021-07-13 10:30:00-04:00,369.4999084472656,370.7900085449219,368.8399963378906,369.989990234375,66748,0,0
2021-07-13 11:30:00-04:00,369.9750061035156,371.25,369.4700012207031,371.239990234375,65387,0,0
2021-07-13 12:30:00-04:00,371.1499938964844,372.6000061035156,370.4800109863281,370.4800109863281,93100,0,0
2021-07-13 13:30:00-04:00,370.80999755859375,372.3800048828125,369.5299987792969,371.6700134277344,89125,0,0
2021-07-13 14:30:00-04:00,371.6600036621094,372.6199951171875,370.7200012207031,370.7699890136719,74092,0,0
2021-07-13 15:30:00-04:00,370.8800048828125,371.8999938964844,370.25,371.05999755859375,91563,0,0
2021-07-14 09:30:00-04:00,377.3399963378906,384.510009765625,375.82501220703125,381.3406066894531,477375,0,0
2021-07-14 10:30:00-04:00,381.510009765625,381.6600036621094,378.8800048828125,380.20001220703125,234788,0,0
2021-07-14 11:30:00-04:00,380.20001220703125,385.7099914550781,380.20001220703125,384.7900085449219,406632,0,0
2021-07-14 12:30:00-04:00,385.0398864746094,385.8999938964844,383.5,383.6449890136719,187045,0,0
2021-07-14 13:30:00-04:00,383.6400146484375,385.5,382.6099853515625,384.7200012207031,173624,0,0
2021-07-14 14:30:00-04:00,384.75,385.42999267578125,381.2699890136719,381.2699890136719,194084,0,0
2021-07-14 15:30:00-04:00,381.3299865722656,381.4700012207031,376.82000732421875,376.9800109863281,347984,0,0
2021-07-15 09:30:00-04:00,379.6099853515625,380.0,370.3800048828125,378.8399963378906,367622,0,0
2021-07-15 10:30:00-04:00,378.6099853515625,380.82000732421875,374.4100036621094,374.9200134277344,293061,0,0
2021-07-15 11:30:00-04:00,374.8500061035156,376.1499938964844,374.32000732421875,376.1499938964844,89553,0,0
2021-07-15 12:30:00-04:00,376.0299987792969,377.1600036621094,374.57000732421875,375.0,65738,0,0
2021-07-15 13:30:00-04:00,374.6000061035156,374.6600036621094,373.010009765625,374.3299865722656,62074,0,0
2021-07-15 14:30:00-04:00,374.3399963378906,376.43499755859375,373.760009765625,375.79998779296875,73771,0,0
2021-07-15 15:30:00-04:00,375.9100036621094,377.2030944824219,375.69000244140625,375.69000244140625,135630,0,0
2021-07-16 09:30:00-04:00,376.4100036621094,378.5,374.5,375.3500061035156,143148,0,0
2021-07-16 10:30:00-04:00,375.0199890136719,375.7799987792969,371.7200012207031,371.8999938964844,80325,0,0
2021-07-16 11:30:00-04:00,372.0000915527344,374.1199951171875,371.6099853515625,373.7300109863281,44090,0,0
2021-07-16 12:30:00-04:00,373.760009765625,375.0400085449219,373.29998779296875,373.80999755859375,56679,0,0
2021-07-16 13:30:00-04:00,373.69000244140625,373.7200012207031,372.0199890136719,372.8299865722656,44762,0,0
2021-07-16 14:30:00-04:00,372.7699890136719,373.010009765625,371.32000732421875,371.57000732421875,66943,0,0
2021-07-16 15:30:00-04:00,371.4901123046875,372.239990234375,370.9800109863281,371.739990234375,131934,0,0
2021-07-19 09:30:00-04:00,367.7799987792969,370.4700012207031,364.510009765625,368.4198913574219,182944,0,0
2021-07-19 10:30:00-04:00,368.2300109863281,370.8699951171875,366.8599853515625,369.9599914550781,112943,0,0
2021-07-19 11:30:00-04:00,369.6300048828125,372.5799865722656,369.6300048828125,370.3399963378906,74111,0,0
2021-07-19 12:30:00-04:00,370.0,370.79998779296875,369.1600036621094,369.75,68217,0,0
2021-07-19 13:30:00-04:00,369.6300048828125,371.19000244140625,369.1700134277344,370.9800109863281,74733,0,0
2021-07-19 14:30:00-04:00,370.8500061035156,372.0799865722656,369.6000061035156,371.7900085449219,103956,0,0
2021-07-19 15:30:00-04:00,371.58819580078125,373.7200012207031,371.0899963378906,373.19000244140625,180353,0,0
2021-07-20 09:30:00-04:00,375.2699890136719,382.6700134277344,373.55999755859375,382.010009765625,264936,0,0
2021-07-20 10:30:00-04:00,382.0199890136719,383.6300048828125,380.19000244140625,382.6499938964844,210248,0,0
2021-07-20 11:30:00-04:00,382.6700134277344,384.0799865722656,381.4150085449219,383.8699951171875,158557,0,0
2021-07-20 12:30:00-04:00,383.8900146484375,385.5,383.1700134277344,383.9049987792969,170976,0,0
2021-07-20 13:30:00-04:00,383.94500732421875,385.2699890136719,383.7099914550781,385.1400146484375,141600,0,0
2021-07-20 14:30:00-04:00,385.07000732421875,387.9173889160156,385.07000732421875,385.8999938964844,270187,0,0
2021-07-20 15:30:00-04:00,385.92999267578125,386.25,383.2900085449219,383.2900085449219,233363,0,0
2021-07-21 09:30:00-04:00,383.20001220703125,386.3660888671875,380.6400146484375,381.5,143321,0,0
2021-07-21 10:30:00-04:00,381.239990234375,382.75,380.67999267578125,381.260009765625,74579,0,0
2021-07-21 11:30:00-04:00,381.3500061035156,382.25,380.5,382.06500244140625,81250,0,0
2021-07-21 12:30:00-04:00,381.92999267578125,382.1300048828125,380.8699951171875,381.8399963378906,51709,0,0
2021-07-21 13:30:00-04:00,381.8500061035156,382.5,381.55999755859375,382.4049987792969,67141,0,0
2021-07-21 14:30:00-04:00,382.5899963378906,383.9200134277344,382.32000732421875,382.739990234375,72366,0,0
2021-07-21 15:30:00-04:00,382.79998779296875,383.70001220703125,382.0,383.6199951171875,108510,0,0
2021-07-22 09:30:00-04:00,383.75,390.45001220703125,383.75,390.3599853515625,172034,0,0
2021-07-22 10:30:00-04:00,390.3999938964844,395.7699890136719,389.8711853027344,391.95001220703125,300190,0,0
2021-07-22 11:30:00-04:00,392.0400085449219,392.6199951171875,391.2264099121094,392.20001220703125,70587,0,0
2021-07-22 12:30:00-04:00,392.19000244140625,394.6099853515625,392.135009765625,394.1400146484375,86476,0,0
2021-07-22 13:30:00-04:00,394.07000732421875,395.3800048828125,394.0249938964844,395.1400146484375,96198,0,0
2021-07-22 14:30:00-04:00,395.125,396.1099853515625,394.739990234375,396.0849914550781,125238,0,0
2021-07-22 15:30:00-04:00,395.9700012207031,397.5,395.3999938964844,396.0,244791,0,0
2021-07-23 09:30:00-04:00,394.989990234375,401.4700012207031,394.1300048828125,400.7099914550781,271155,0,0
2021-07-23 10:30:00-04:00,400.7799987792969,405.75,400.5199890136719,405.55999755859375,265123,0,0
2021-07-23 11:30:00-04:00,405.7300109863281,405.95001220703125,403.39129638671875,404.20001220703125,161221,0,0
2021-07-23 12:30:00-04:00,404.2799987792969,404.5989990234375,402.45001220703125,403.1099853515625,91147,0,0
2021-07-23 13:30:00-04:00,403.1300048828125,403.260009765625,400.75,401.92999267578125,119059,0,0
2021-07-23 14:30:00-04:00,401.92999267578125,403.1499938964844,400.9006042480469,402.9049987792969,107886,0,0
2021-07-23 15:30:00-04:00,402.8500061035156,403.5,402.4599914550781,402.79998779296875,144954,0,0
2021-07-26 09:30:00-04:00,402.57000732421875,405.93499755859375,393.57000732421875,394.385009765625,226517,0,0
2021-07-26 10:30:00-04:00,394.5018005371094,395.614990234375,392.5350036621094,393.8949890136719,140528,0,0
2021-07-26 11:30:00-04:00,393.9649963378906,395.3999938964844,392.7099914550781,395.3299865722656,98249,0,0
2021-07-26 12:30:00-04:00,395.2099914550781,397.6549987792969,395.2099914550781,397.3399963378906,64324,0,0
2021-07-26 13:30:00-04:00,397.3800048828125,397.3800048828125,395.9200134277344,396.29998779296875,55043,0,0
2021-07-26 14:30:00-04:00,396.4750061035156,397.0400085449219,396.02630615234375,396.0400085449219,49220,0,0
2021-07-26 15:30:00-04:00,396.20001220703125,396.2099914550781,395.0201110839844,395.70001220703125,107222,0,0
2021-07-27 09:30:00-04:00,394.2699890136719,394.2699890136719,389.3599853515625,390.6300048828125,130995,0,0
2021-07-27 10:30:00-04:00,390.5799865722656,391.0899963378906,387.1499938964844,387.7200012207031,88240,0,0
2021-07-27 11:30:00-04:00,387.6968078613281,388.7900085449219,385.7349853515625,388.6400146484375,80011,0,0
2021-07-27 12:30:00-04:00,388.7650146484375,390.2300109863281,388.1650085449219,388.6499938964844,77133,0,0
2021-07-27 13:30:00-04:00,388.5899963378906,390.1499938964844,388.010009765625,389.8550109863281,56907,0,0
2021-07-27 14:30:00-04:00,389.82000732421875,391.5899963378906,389.7200012207031,390.82000732421875,54538,0,0
2021-07-27 15:30:00-04:00,390.8999938964844,391.4700012207031,390.2300109863281,391.17999267578125,105836,0,0
2021-07-28 09:30:00-04:00,392.3500061035156,392.45001220703125,389.1300048828125,390.44000244140625,81002,0,0
2021-07-28 10:30:00-04:00,390.3999938964844,392.9200134277344,389.57501220703125,391.0450134277344,59535,0,0
2021-07-28 11:30:00-04:00,390.82000732421875,392.67999267578125,390.5299987792969,391.4599914550781,49295,0,0
2021-07-28 12:30:00-04:00,391.6099853515625,392.4700012207031,391.3399963378906,391.7203063964844,45824,0,0
2021-07-28 13:30:00-04:00,391.8599853515625,393.75,390.739990234375,393.1700134277344,47622,0,0
2021-07-28 14:30:00-04:00,393.1199951171875,394.7236022949219,392.2699890136719,394.18499755859375,78566,0,0
2021-07-28 15:30:00-04:00,394.3999938964844,394.7699890136719,392.69000244140625,392.69000244140625,97737,0,0
2021-07-29 09:30:00-04:00,394.5400085449219,403.2699890136719,394.31500244140625,402.4150085449219,202079,0,0
2021-07-29 10:30:00-04:00,402.3349914550781,404.26361083984375,401.7250061035156,403.7644958496094,224413,0,0
2021-07-29 11:30:00-04:00,403.635009765625,406.239990234375,403.42999267578125,403.9599914550781,155880,0,0
2021-07-29 12:30:00-04:00,404.0400085449219,404.04998779296875,401.32000732421875,402.7300109863281,88434,0,0
2021-07-29 13:30:00-04:00,402.7250061035156,403.3500061035156,401.3699951171875,401.55419921875,79806,0,0
2021-07-29 14:30:00-04:00,401.7200012207031,401.8999938964844,400.20001220703125,401.4750061035156,87461,0,0
2021-07-29 15:30:00-04:00,401.4849853515625,403.1700134277344,401.17999267578125,402.7300109863281,157799,0,0
2021-07-30 09:30:00-04:00,399.1400146484375,403.2099914550781,398.29998779296875,400.8999938964844,111028,0,0
2021-07-30 10:30:00-04:00,400.4601135253906,400.81610107421875,397.8299865722656,399.1300048828125,81523,0,0
2021-07-30 11:30:00-04:00,399.29998779296875,400.4100036621094,398.8699951171875,400.239990234375,48138,0,0
2021-07-30 12:30:00-04:00,400.3999938964844,400.8299865722656,399.94000244140625,400.1099853515625,43062,0,0
2021-07-30 13:30:00-04:00,399.9599914550781,401.1199951171875,399.1499938964844,399.1700134277344,43833,0,0
2021-07-30 14:30:00-04:00,399.1700134277344,399.69000244140625,398.4700012207031,399.5,56178,0,0
2021-07-30 15:30:00-04:00,399.55999755859375,400.5799865722656,399.17010498046875,400.3999938964844,97098,0,0
2021-08-02 09:30:00-04:00,402.7699890136719,403.32000732421875,399.5799865722656,401.82501220703125,105767,0,0
2021-08-02 10:30:00-04:00,402.0400085449219,404.9200134277344,401.7001037597656,404.9200134277344,57527,0,0
2021-08-02 11:30:00-04:00,404.82501220703125,405.44158935546875,401.3699951171875,403.4150085449219,54234,0,0
2021-08-02 12:30:00-04:00,403.091796875,406.2099914550781,403.091796875,405.5950012207031,60268,0,0
2021-08-02 13:30:00-04:00,405.3599853515625,405.4800109863281,404.2799987792969,404.4200134277344,44839,0,0
2021-08-02 14:30:00-04:00,404.4200134277344,404.5,403.1839904785156,403.5,58144,0,0
2021-08-02 15:30:00-04:00,403.4700012207031,403.8999938964844,402.0899963378906,402.760009765625,101580,0,0
2021-08-03 09:30:00-04:00,402.760009765625,408.989990234375,402.760009765625,405.1400146484375,147462,0,0
2021-08-03 10:30:00-04:00,405.1000061035156,408.0498962402344,404.5,404.8800048828125,86331,0,0
2021-08-03 11:30:00-04:00,405.1099853515625,408.69000244140625,404.9800109863281,408.05999755859375,59719,0,0
2021-08-03 12:30:00-04:00,408.1499938964844,409.25048828125,407.5899963378906,408.1700134277344,56995,0,0
2021-08-03 13:30:00-04:00,408.3299865722656,408.5400085449219,406.7099914550781,406.8699951171875,46877,0,0
2021-08-03 14:30:00-04:00,406.8299865722656,407.6700134277344,406.0101013183594,407.07000732421875,50167,0,0
2021-08-03 15:30:00-04:00,407.1099853515625,407.70001220703125,406.6000061035156,407.20001220703125,93274,0,0
2021-08-04 09:30:00-04:00,409.0,412.3999938964844,408.6400146484375,409.1400146484375,113294,0,0
2021-08-04 10:30:00-04:00,409.4599914550781,411.44000244140625,408.1199951171875,411.3500061035156,75320,0,0
2021-08-04 11:30:00-04:00,411.2850036621094,413.489990234375,410.69000244140625,412.489990234375,97565,0,0
2021-08-04 12:30:00-04:00,412.3299865722656,413.0199890136719,411.30999755859375,412.9800109863281,40686,0,0
2021-08-04 13:30:00-04:00,413.17999267578125,413.17999267578125,410.80999755859375,413.0,49845,0,0
2021-08-04 14:30:00-04:00,412.8900146484375,413.2099914550781,410.0799865722656,410.5899963378906,68385,0,0
2021-08-04 15:30:00-04:00,410.5299987792969,410.9800109863281,409.6099853515625,410.2900085449219,83634,0,0
2021-08-05 09:30:00-04:00,411.0,415.0,411.0,412.5459899902344,133118,0,0
2021-08-05 10:30:00-04:00,412.3800048828125,414.55999755859375,410.6300048828125,414.4200134277344,80521,0,0
2021-08-05 11:30:00-04:00,414.42999267578125,415.3399963378906,413.8949890136719,414.8999938964844,59311,0,0
2021-08-05 12:30:00-04:00,414.8500061035156,414.9410095214844,413.35888671875,413.614990234375,44459,0,0
2021-08-05 13:30:00-04:00,413.7200012207031,415.1199951171875,413.7099914550781,414.80999755859375,47703,0,0
2021-08-05 14:30:00-04:00,414.67498779296875,415.3349914550781,413.7632141113281,413.8500061035156,56763,0,0
2021-08-05 15:30:00-04:00,413.9200134277344,414.6499938964844,413.3349914550781,414.1400146484375,89234,0,0
2021-08-06 09:30:00-04:00,412.44000244140625,413.0,407.7099914550781,409.4599914550781,168573,0,0
2021-08-06 10:30:00-04:00,409.45001220703125,410.239990234375,406.5299987792969,407.32989501953125,97692,0,0
2021-08-06 11:30:00-04:00,406.8900146484375,408.75,406.67498779296875,408.59210205078125,48424,0,0
2021-08-06 12:30:00-04:00,408.4700012207031,409.8919982910156,408.0450134277344,409.70001220703125,36231,0,0
2021-08-06 13:30:00-04:00,409.6400146484375,411.1499938964844,409.510009765625,411.1499938964844,50644,0,0
2021-08-06 14:30:00-04:00,411.1449890136719,411.2699890136719,409.0299987792969,409.18499755859375,45466,0,0
2021-08-06 15:30:00-04:00,409.29901123046875,409.29901123046875,407.75,408.7900085449219,102399,0,0
2021-08-09 09:30:00-04:00,409.0899963378906,410.64990234375,406.97711181640625,407.9150085449219,129350,0,0
2021-08-09 10:30:00-04:00,407.7699890136719,409.4800109863281,406.7550048828125,407.92999267578125,72510,0,0
2021-08-09 11:30:00-04:00,407.6300048828125,409.3399963378906,407.6300048828125,408.9800109863281,48057,0,0
2021-08-09 12:30:00-04:00,408.95001220703125,410.2799987792969,408.67999267578125,408.7699890136719,45311,0,0
2021-08-09 13:30:00-04:00,408.55999755859375,409.9800109863281,407.8399963378906,409.80999755859375,62928,0,0
2021-08-09 14:30:00-04:00,409.864990234375,410.6000061035156,408.8399963378906,409.2099914550781,48689,0,0
2021-08-09 15:30:00-04:00,409.07000732421875,409.2900085449219,407.4700012207031,407.5299987792969,98125,0,0
2021-08-10 09:30:00-04:00,407.3299865722656,411.5400085449219,406.95001220703125,409.739990234375,87987,0,0
2021-08-10 10:30:00-04:00,409.3800048828125,410.1300048828125,404.57501220703125,406.17498779296875,133362,0,0
2021-08-10 11:30:00-04:00,406.0249938964844,409.14990234375,406.0249938964844,408.3299865722656,51767,0,0
2021-08-10 12:30:00-04:00,408.05999755859375,409.0129089355469,407.1099853515625,408.3299865722656,45310,0,0
2021-08-10 13:30:00-04:00,408.2300109863281,408.5199890136719,406.0299987792969,406.4700012207031,71452,0,0
2021-08-10 14:30:00-04:00,406.4599914550781,407.8500061035156,405.82000732421875,406.510009765625,72749,0,0
2021-08-10 15:30:00-04:00,406.5400085449219,406.73748779296875,405.3599853515625,405.82000732421875,91943,0,0
2021-08-11 09:30:00-04:00,406.260009765625,413.489990234375,405.8699951171875,412.1199951171875,131521,0,0
2021-08-11 10:30:00-04:00,411.9700012207031,412.4100036621094,407.489990234375,409.2900085449219,59608,0,0
2021-08-11 11:30:00-04:00,409.1600036621094,410.17498779296875,408.1199951171875,408.94000244140625,46623,0,0
2021-08-11 12:30:00-04:00,408.75,409.739990234375,408.0,409.0199890136719,31803,0,0
2021-08-11 13:30:00-04:00,408.82000732421875,409.54998779296875,407.79998779296875,408.8900146484375,42826,0,0
2021-08-11 14:30:00-04:00,409.0400085449219,409.5199890136719,408.44000244140625,408.8500061035156,50840,0,0
2021-08-11 15:30:00-04:00,408.739990234375,409.2300109863281,407.8500061035156,408.4800109863281,139853,0,0
2021-08-12 09:30:00-04:00,407.5199890136719,409.989990234375,406.3900146484375,407.6900939941406,70225,0,0
2021-08-12 10:30:00-04:00,407.9700012207031,408.6600036621094,406.9200134277344,408.45001220703125,39174,0,0
2021-08-12 11:30:00-04:00,408.2900085449219,409.318115234375,407.760009765625,407.760009765625,39736,0,0
2021-08-12 12:30:00-04:00,407.6700134277344,408.010009765625,406.6878967285156,407.42999267578125,39864,0,0
2021-08-12 13:30:00-04:00,407.5299987792969,409.5150146484375,407.360107421875,409.0799865722656,56770,0,0
2021-08-12 14:30:00-04:00,409.0849914550781,410.0400085449219,408.8599853515625,409.3500061035156,40606,0,0
2021-08-12 15:30:00-04:00,409.3800048828125,409.9100036621094,408.6000061035156,408.6099853515625,77189,0,0
2021-08-13 09:30:00-04:00,409.0,409.135009765625,404.5050048828125,405.25,125472,0,0
2021-08-13 10:30:00-04:00,405.3399963378906,405.3800048828125,403.1700134277344,404.6499938964844,84900,0,0
2021-08-13 11:30:00-04:00,404.3500061035156,406.1860046386719,404.2300109863281,406.010009765625,38372,0,0
2021-08-13 12:30:00-04:00,405.8699951171875,407.82000732421875,405.25,407.40478515625,33611,0,0
2021-08-13 13:30:00-04:00,407.3699951171875,408.55999755859375,407.1000061035156,407.67498779296875,33402,0,0
2021-08-13 14:30:00-04:00,407.79998779296875,407.9800109863281,406.7200012207031,407.2900085449219,30838,0,0
2021-08-13 15:30:00-04:00,407.4548034667969,409.1300048828125,407.2900085449219,408.9700012207031,58791,0,0
2021-08-16 09:30:00-04:00,406.25,407.5690002441406,400.3700866699219,404.1099853515625,172281,0,0
2021-08-16 10:30:00-04:00,403.3800048828125,404.9700012207031,401.0299987792969,402.5299987792969,47457,0,0
2021-08-16 11:30:00-04:00,402.7699890136719,404.70001220703125,402.6499938964844,404.2200012207031,44938,0,0
2021-08-16 12:30:00-04:00,404.3399963378906,406.1099853515625,404.3299865722656,404.9682922363281,36940,0,0
2021-08-16 13:30:00-04:00,404.989990234375,405.760009765625,404.8999938964844,405.2300109863281,30455,0,0
2021-08-16 14:30:00-04:00,405.3500061035156,407.0,405.04998779296875,406.9100036621094,51955,0,0
2021-08-16 15:30:00-04:00,406.8699951171875,407.45001220703125,406.2300109863281,407.42999267578125,97288,0,0
