,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-13 09:30:00-04:00,204.00999450683594,205.5,201.2100067138672,202.00999450683594,0,0,0
2021-07-13 10:30:00-04:00,202.22999572753906,203.08999633789062,201.94000244140625,203.08999633789062,7638,0,0
2021-07-13 11:30:00-04:00,202.9199981689453,203.64999389648438,202.07000732421875,203.0,21396,0,0
2021-07-13 12:30:00-04:00,202.94500732421875,203.8300018310547,201.36000061035156,201.42999267578125,15148,0,0
2021-07-13 13:30:00-04:00,201.17999267578125,201.6199951171875,200.36000061035156,201.55999755859375,19550,0,0
2021-07-13 14:30:00-04:00,201.36000061035156,201.8800048828125,201.35000610351562,201.6999969482422,10200,0,0
2021-07-13 15:30:00-04:00,201.63999938964844,201.8800048828125,200.66000366210938,200.97999572753906,26885,0,0
2021-07-14 09:30:00-04:00,201.25,202.8000030517578,196.3415985107422,196.74000549316406,33941,0,0
2021-07-14 10:30:00-04:00,197.0399932861328,197.5050048828125,195.0,195.00999450683594,13764,0,0
2021-07-14 11:30:00-04:00,195.0800018310547,196.53500366210938,194.64999389648438,196.39999389648438,33841,0,0
2021-07-14 12:30:00-04:00,196.64999389648438,196.9499969482422,196.0,196.23500061035156,14718,0,0
2021-07-14 13:30:00-04:00,196.0,196.66000366210938,195.97000122070312,196.40499877929688,115809,0,0
2021-07-14 14:30:00-04:00,196.40499877929688,196.89999389648438,194.13009643554688,194.13999938964844,44742,0,0
2021-07-14 15:30:00-04:00,193.7899932861328,194.99989318847656,193.74000549316406,194.60000610351562,42293,0,0
2021-07-15 09:30:00-04:00,194.13999938964844,198.05999755859375,193.02999877929688,196.81500244140625,35829,0,0
2021-07-15 10:30:00-04:00,197.19000244140625,197.97999572753906,196.1699981689453,197.24549865722656,19749,0,0
2021-07-15 11:30:00-04:00,197.52000427246094,197.75999450683594,195.99000549316406,196.75999450683594,16606,0,0
2021-07-15 12:30:00-04:00,196.6199951171875,197.1562957763672,196.4600067138672,196.97500610351562,19466,0,0
2021-07-15 13:30:00-04:00,196.8000030517578,197.02999877929688,195.4499969482422,196.42999267578125,25726,0,0
2021-07-15 14:30:00-04:00,196.46499633789062,197.47999572753906,196.0399932861328,196.58999633789062,35272,0,0
2021-07-15 15:30:00-04:00,196.625,197.25,196.625,196.99000549316406,33923,0,0
2021-07-16 09:30:00-04:00,197.75,199.6699981689453,196.80999755859375,198.14999389648438,26848,0,0
2021-07-16 10:30:00-04:00,198.8300018310547,201.58999633789062,198.77000427246094,201.0500030517578,59553,0,0
2021-07-16 11:30:00-04:00,200.97000122070312,202.1999969482422,200.16000366210938,202.17999267578125,157212,0,0
2021-07-16 12:30:00-04:00,202.05999755859375,202.75,199.69000244140625,199.82000732421875,33580,0,0
2021-07-16 13:30:00-04:00,199.69000244140625,199.69000244140625,198.36000061035156,199.39999389648438,57358,0,0
2021-07-16 14:30:00-04:00,199.47000122070312,201.47000122070312,199.40249633789062,201.375,48697,0,0
2021-07-16 15:30:00-04:00,201.3000030517578,201.7899932861328,200.00999450683594,200.19000244140625,148313,0,0
2021-07-19 09:30:00-04:00,197.86000061035156,202.55999755859375,195.85000610351562,202.4600067138672,40609,0,0
2021-07-19 10:30:00-04:00,201.98500061035156,202.0998992919922,199.58999633789062,201.50999450683594,16657,0,0
