,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,JPM220617P00060000,2021-12-30 2:08PM EST,60.0,0.18,0.08,0.23,0.0,-,5,897,62.60%
1,JPM220617P00065000,2021-11-02 8:30AM EST,65.0,0.33,0.42,0.82,0.0,-,20,118,71.34%
2,JPM220617P00070000,2021-12-23 3:16PM EST,70.0,0.36,0.12,0.31,0.0,-,3,556,55.71%
3,JPM220617P00075000,2021-12-29 3:49PM EST,75.0,0.35,0.15,0.38,0.0,-,28,335,52.98%
4,JPM220617P00080000,2021-12-20 10:18AM EST,80.0,0.7,0.16,0.41,0.0,-,3,188,52.32%
5,JPM220617P00085000,2021-12-23 1:35PM EST,85.0,0.58,0.23,0.47,0.0,-,2,271,49.29%
6,JPM220617P00090000,2021-11-05 12:48PM EST,90.0,0.94,1.05,1.23,0.0,-,6,1360,53.91%
7,JPM220617P00095000,2021-12-20 2:45PM EST,95.0,1.15,0.41,0.68,0.0,-,5,1512,44.46%
8,JPM220617P00100000,2021-12-30 12:02PM EST,100.0,0.74,0.51,0.77,0.0,-,10,3897,41.65%
9,JPM220617P00105000,2021-12-21 3:11PM EST,105.0,1.3,0.68,0.93,0.0,-,1,1918,39.48%
10,JPM220617P00110000,2021-12-27 10:30AM EST,110.0,1.24,1.0,1.07,0.0,-,1,3516,36.94%
11,JPM220617P00115000,2021-12-21 11:17AM EST,115.0,1.95,1.19,1.3,0.0,-,1,4920,34.92%
12,JPM220617P00120000,2021-12-31 3:38PM EST,120.0,1.56,1.51,1.59,0.03,+1.96%,24,7545,33.00%
13,JPM220617P00125000,2021-12-31 3:15PM EST,125.0,1.98,1.98,2.04,0.05,+2.59%,20,3714,31.56%
14,JPM220617P00130000,2021-12-30 3:50PM EST,130.0,2.5,2.54,2.72,0.0,-,307,10049,30.62%
15,JPM220617P00135000,2021-12-31 2:56PM EST,135.0,3.25,3.25,3.35,0.1,+3.17%,1067,6867,28.89%
16,JPM220617P00140000,2021-12-31 3:21PM EST,140.0,4.2,4.2,4.35,0.05,+1.20%,23,7316,27.86%
17,JPM220617P00145000,2021-12-30 3:28PM EST,145.0,5.45,5.55,5.7,0.0,-,147,13969,27.16%
18,JPM220617P00150000,2021-12-31 1:31PM EST,150.0,7.3,7.2,7.4,-0.15,-2.01%,1500,9528,26.60%
19,JPM220617P00155000,2021-12-29 3:15PM EST,155.0,9.24,9.2,9.35,0.0,-,47,6335,25.85%
20,JPM220617P00160000,2021-12-31 11:19AM EST,160.0,11.7,11.5,11.85,0.05,+0.43%,35,4359,25.59%
21,JPM220617P00165000,2021-12-31 10:52AM EST,165.0,14.8,14.4,14.75,0.25,+1.72%,40,3719,25.43%
22,JPM220617P00170000,2021-12-30 3:33PM EST,170.0,17.8,17.8,18.1,0.0,-,17,684,25.57%
23,JPM220617P00175000,2021-12-29 9:34AM EST,175.0,21.05,21.5,21.9,0.0,-,3,229,26.11%
24,JPM220617P00180000,2021-12-29 10:24AM EST,180.0,25.36,25.5,26.0,0.0,-,2,136,26.84%
25,JPM220617P00185000,2021-12-28 1:13PM EST,185.0,29.65,29.8,30.1,0.0,-,1,280,27.04%
26,JPM220617P00190000,2021-12-20 10:37AM EST,190.0,40.3,34.25,34.9,0.0,-,23,269,29.00%
27,JPM220617P00195000,2021-11-17 9:34AM EST,195.0,33.67,41.5,42.65,0.0,-,10,69,39.91%
28,JPM220617P00200000,2021-12-03 1:29PM EST,200.0,44.85,43.45,44.1,0.0,-,7,255,30.81%
29,JPM220617P00210000,2021-12-03 1:28PM EST,210.0,54.15,52.5,54.35,0.0,-,2,182,35.96%
30,JPM220617P00220000,2021-10-25 12:11PM EST,220.0,51.67,59.5,61.0,0.0,-,1,141,0.00%
31,JPM220617P00230000,2021-11-10 7:01AM EST,230.0,73.9,70.2,74.2,0.0,-,4,68,42.70%
32,JPM220617P00240000,2021-11-12 11:00AM EST,240.0,75.4,82.8,84.3,0.0,-,2,98,46.45%
33,JPM220617P00250000,2021-11-10 7:01AM EST,250.0,86.15,91.0,92.4,0.0,-,2,45,37.82%
