,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-13 09:30:00-04:00,187.0,187.8800048828125,181.51010131835938,182.22999572753906,39729,0,0
2021-07-13 10:30:00-04:00,182.77000427246094,182.88999938964844,178.6300048828125,182.52520751953125,74605,0,0
2021-07-13 11:30:00-04:00,182.05999755859375,182.639892578125,181.11000061035156,181.9550018310547,44112,0,0
2021-07-13 12:30:00-04:00,182.0366973876953,182.3249969482422,180.27000427246094,181.07000732421875,18749,0,0
2021-07-13 13:30:00-04:00,181.19000244140625,181.8699951171875,180.38499450683594,181.36000061035156,22909,0,0
2021-07-13 14:30:00-04:00,181.08999633789062,181.72999572753906,180.51499938964844,180.6699981689453,23411,0,0
2021-07-13 15:30:00-04:00,180.52999877929688,181.57000732421875,180.50999450683594,181.02000427246094,51624,0,0
2021-07-14 09:30:00-04:00,181.63999938964844,181.63999938964844,172.1999969482422,172.52000427246094,99830,0,0
2021-07-14 10:30:00-04:00,173.0,175.4405975341797,171.4499969482422,171.61000061035156,72717,0,0
2021-07-14 11:30:00-04:00,172.3000030517578,172.67999267578125,169.41000366210938,171.10000610351562,57348,0,0
2021-07-14 12:30:00-04:00,170.9499969482422,173.22000122070312,170.9499969482422,172.52000427246094,36412,0,0
2021-07-14 13:30:00-04:00,172.52000427246094,172.66000366210938,170.6300048828125,171.0500030517578,19916,0,0
2021-07-14 14:30:00-04:00,170.73500061035156,173.65989685058594,170.360107421875,170.86990356445312,38731,0,0
2021-07-14 15:30:00-04:00,170.66600036621094,171.97999572753906,170.30499267578125,171.42999267578125,48420,0,0
2021-07-15 09:30:00-04:00,171.67999267578125,173.17999267578125,165.82000732421875,165.86000061035156,113607,0,0
2021-07-15 10:30:00-04:00,165.8699951171875,167.8802032470703,163.63999938964844,166.5449981689453,102761,0,0
2021-07-15 11:30:00-04:00,166.47000122070312,167.75,163.13999938964844,163.67250061035156,50362,0,0
