,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-12 22:00:00-04:00,34893.0,34894.0,34869.0,34875.0,0,0,0
2021-07-12 23:00:00-04:00,34877.0,34886.0,34869.0,34871.0,454,0,0
2021-07-13 00:00:00-04:00,34872.0,34873.0,34862.0,34865.0,469,0,0
2021-07-13 01:00:00-04:00,34865.0,34869.0,34841.0,34844.0,1120,0,0
2021-07-13 02:00:00-04:00,34844.0,34857.0,34829.0,34835.0,1565,0,0
2021-07-13 03:00:00-04:00,34834.0,34863.0,34807.0,34851.0,4528,0,0
2021-07-13 04:00:00-04:00,34851.0,34881.0,34830.0,34877.0,2875,0,0
2021-07-13 05:00:00-04:00,34877.0,34877.0,34836.0,34842.0,2819,0,0
2021-07-13 06:00:00-04:00,34842.0,34862.0,34828.0,34833.0,1707,0,0
2021-07-13 07:00:00-04:00,34834.0,34885.0,34813.0,34865.0,3737,0,0
2021-07-13 08:00:00-04:00,34865.0,34866.0,34748.0,34754.0,10067,0,0
2021-07-13 09:00:00-04:00,34754.0,34895.0,34750.0,34809.0,25505,0,0
2021-07-13 10:00:00-04:00,34811.0,34843.0,34759.0,34780.0,17241,0,0
2021-07-13 11:00:00-04:00,34780.0,34866.0,34780.0,34859.0,9322,0,0
2021-07-13 12:00:00-04:00,34858.0,34867.0,34817.0,34843.0,5472,0,0
2021-07-13 13:00:00-04:00,34841.0,34844.0,34769.0,34825.0,11857,0,0
2021-07-13 14:00:00-04:00,34824.0,34831.0,34765.0,34804.0,8951,0,0
2021-07-13 15:00:00-04:00,34803.0,34820.0,34765.0,34782.0,12958,0,0
2021-07-13 16:00:00-04:00,34782.0,34797.0,34767.0,34779.0,2567,0,0
2021-07-13 18:00:00-04:00,34779.0,34801.0,34774.0,34785.0,0,0,0
2021-07-13 19:00:00-04:00,34786.0,34791.0,34739.0,34746.0,1393,0,0
2021-07-13 20:00:00-04:00,34744.0,34799.0,34739.0,34785.0,1561,0,0
2021-07-13 21:00:00-04:00,34785.0,34804.0,34776.0,34799.0,1263,0,0
2021-07-13 22:00:00-04:00,34796.0,34801.0,34754.0,34760.0,1391,0,0
2021-07-13 23:00:00-04:00,34762.0,34770.0,34731.0,34741.0,1402,0,0
2021-07-14 00:00:00-04:00,34743.0,34747.0,34697.0,34704.0,2002,0,0
2021-07-14 01:00:00-04:00,34703.0,34739.0,34700.0,34711.0,1424,0,0
2021-07-14 02:00:00-04:00,34711.0,34737.0,34674.0,34685.0,3464,0,0
2021-07-14 03:00:00-04:00,34686.0,34797.0,34667.0,34737.0,4324,0,0
2021-07-14 04:00:00-04:00,34739.0,34766.0,34703.0,34732.0,3626,0,0
2021-07-14 05:00:00-04:00,34732.0,34774.0,34730.0,34745.0,2387,0,0
2021-07-14 06:00:00-04:00,34743.0,34784.0,34738.0,34769.0,1373,0,0
2021-07-14 07:00:00-04:00,34767.0,34807.0,34766.0,34799.0,2672,0,0
2021-07-14 08:00:00-04:00,34799.0,34881.0,34782.0,34871.0,6266,0,0
2021-07-14 09:00:00-04:00,34870.0,34945.0,34849.0,34861.0,20668,0,0
2021-07-14 10:00:00-04:00,34863.0,34897.0,34825.0,34831.0,15629,0,0
2021-07-14 11:00:00-04:00,34829.0,34833.0,34712.0,34732.0,16386,0,0
2021-07-14 12:00:00-04:00,34732.0,34823.0,34728.0,34810.0,9786,0,0
2021-07-14 13:00:00-04:00,34813.0,34830.0,34751.0,34823.0,6912,0,0
2021-07-14 14:00:00-04:00,34823.0,34845.0,34805.0,34824.0,5744,0,0
